53 83 100 98 6,0 0 0 0 100,100 53 72 50 55,100 87 100 0 100,100 66 89 75 100,2 1 5 81 79,63 86 100 6 55,71 85 21 13 47,50 86 100 97 14,44 87 100 95 21,100 89 46 15 66,100 97 100 12 5,100 97 100 90 43,100 95 100 84 100,100 71 93 75 95,100 90 100 30 57,100 93 100 45 22,100 96 39 31 100,100 97 100 90 100,100 92 100 74 37,100 97 42 23 100,100 94 31 0 100,100 27 25 22 100,100 93 100 52 62,97 81 100 100 5,100 92 100 0 100
25 84 100 65 2,0 0 0 0 100,30 33 53 0 76,63 100 100 0 39,63 60 80 8 100,0 0 0 32 59,39 86 100 0 55,47 89 16 0 44,0 62 100 35 100,0 62 100 35 100,59 91 31 0 41,58 90 100 0 0,88 88 100 31 100,89 100 100 37 100,100 64 92 20 100,100 97 100 0 52,100 100 100 0 50,100 99 31 0 100,100 100 100 30 100,100 97 100 27 53,100 92 25 0 89,100 92 25 0 100,100 15 5 0 100,98 95 100 0 80,0 67 100 74 0,37 91 100 0 91
46 84 100 100 0,25 0 0 0 100,72 28 31 1 53,88 97 100 0 82,88 65 79 33 100,4 0 0 60 86,60 88 100 0 68,64 88 21 0 45,0 81 100 51 100,0 77 100 58 100,85 100 51 0 44,85 100 100 0 0,100 89 100 65 100,100 100 100 75 100,100 73 98 49 100,100 98 100 0 40,100 98 100 6 21,100 85 7 1 34,100 88 100 58 100,100 87 100 44 47,100 87 27 0 90,100 87 27 0 97,100 22 12 0 100,100 81 100 1 100,25 73 100 100 0,58 94 100 0 100
57 91 100 100 0,39 0 0 0 100,89 34 36 0 71,100 100 100 0 59,100 64 65 20 100,12 4 8 92 95,75 94 100 0 57,78 94 20 0 47,21 91 100 100 28,21 91 100 100 28,100 100 60 0 76,100 100 100 0 4,100 94 100 100 100,100 100 100 95 100,100 89 92 72 100,100 100 100 0 61,100 100 100 12 3,100 100 31 4 100,100 100 100 85 100,100 100 100 66 40,100 100 26 0 82,100 100 31 0 100,100 37 24 0 100,100 100 100 16 100,74 89 100 100 0,98 100 100 0 45
82 98 100 96 19,29 0 0 0 100,100 52 39 10 11,100 93 100 4 14,100 100 100 85 71,38 7 0 85 52,79 100 100 27 50,79 100 62 28 57,79 92 100 89 21,79 92 100 89 21,85 85 35 17 40,85 85 100 17 22,86 100 90 51 100,92 87 92 53 55,100 73 69 36 19,100 88 78 17 4,100 90 80 21 4,100 78 30 14 16,100 89 100 94 4,100 85 91 46 3,100 87 24 1 87,100 87 33 4 85,100 35 22 6 81,100 96 88 35 21,82 96 96 94 14,86 95 96 18 14
4 100 100 100 3,93 7 8 4 100,21 59 56 4 67,0 88 74 4 59,0 100 100 62 100,0 8 22 15 19,0 100 100 5 6,0 100 42 5 6,0 80 90 57 100,0 79 90 57 100,0 76 20 1 100,0 80 88 1 3,0 93 91 2 100,0 75 87 36 100,4 81 66 5 100,3 78 98 5 62,2 93 100 4 14,0 76 25 5 100,0 92 90 73 100,0 84 95 15 67,0 68 6 0 100,0 68 6 0 100,1 17 10 0 100,0 100 100 0 100,0 66 84 100 1,0 100 100 0 86
84 100 100 100 0,23 12 2 2 100,93 56 48 1 68,92 97 86 1 100,83 100 96 45 100,17 22 25 38 24,80 100 100 0 7,80 90 41 1 100,40 78 88 72 100,40 78 88 72 100,54 81 33 1 100,55 100 100 1 0,89 92 95 36 100,85 83 87 33 100,100 86 73 16 100,100 94 100 20 78,100 98 100 32 4,97 85 32 7 100,86 100 100 100 100,86 97 96 3 83,86 86 25 3 100,86 86 25 3 100,92 36 21 3 100,81 100 99 3 100,19 72 90 100 0,67 99 100 1 87
90 100 100 100 1,23 11 3 1 100,95 58 46 1 64,95 100 93 0 100,93 100 98 40 100,50 32 22 36 50,86 100 100 0 81,87 100 61 22 81,57 81 87 100 100,56 81 88 100 100,70 83 38 0 100,68 100 100 0 1,90 92 92 13 100,87 77 87 30 100,100 82 69 10 100,100 94 100 10 80,100 100 100 10 1,99 84 37 4 100,95 96 100 100 100,95 85 100 31 73,95 84 22 0 100,95 84 22 0 100,97 34 16 0 100,86 100 100 0 100,34 73 91 100 0,74 95 100 1 100
83 100 100 100 3,35 20 9 0 100,100 52 43 0 69,100 100 100 0 100,99 100 96 28 100,31 26 23 30 50,88 98 100 0 75,88 97 55 50 75,56 80 93 81 100,56 80 93 81 100,66 80 29 1 100,66 91 100 1 0,99 96 94 15 100,99 80 90 30 100,100 82 67 4 100,100 88 100 4 71,100 100 100 70 2,100 86 32 1 94,100 86 91 100 74,100 86 94 38 63,100 84 27 0 100,100 85 27 0 100,100 38 18 0 100,100 100 100 0 100,21 70 90 100 0,78 100 100 1 100
84 100 100 100 11,34 17 4 0 100,100 58 46 0 61,100 98 88 0 100,100 95 97 57 100,34 27 20 47 66,88 98 100 0 62,88 98 56 40 64,66 79 87 65 100,66 79 87 65 100,76 79 32 0 100,70 92 100 0 6,98 84 81 0 100,86 79 92 38 100,100 84 69 15 100,100 84 100 16 52,100 94 100 42 8,100 78 30 3 100,100 86 95 100 100,100 86 100 41 76,100 86 20 2 100,100 86 20 2 100,100 43 19 2 100,100 100 92 2 100,31 74 95 100 0,76 88 100 1 100
68 100 100 87 4,54 23 22 2 94,100 80 65 29 10,100 95 100 8 93,100 92 100 67 5,61 37 37 66 46,86 100 100 33 51,86 100 75 34 31,83 92 92 62 4,83 92 92 62 4,85 89 48 22 52,85 89 94 15 3,85 100 100 63 100,85 87 100 61 62,84 90 94 53 20,84 93 94 28 2,84 100 98 30 2,81 75 25 11 47,83 89 100 79 2,82 88 100 78 8,79 88 37 9 76,79 88 37 8 76,71 29 25 17 84,82 100 97 38 53,51 93 100 89 3,51 81 89 33 12
85 100 100 96 0,57 15 15 8 100,100 63 61 35 3,100 100 100 25 59,100 100 100 80 86,45 18 23 83 50,100 100 100 39 51,100 100 63 40 39,100 88 98 80 23,100 88 98 79 2,100 88 38 19 6,100 88 100 24 6,100 100 96 66 100,91 82 100 68 61,100 73 80 46 16,100 92 86 23 2,100 100 100 47 2,100 52 20 19 75,100 88 100 77 88,100 86 100 87 13,100 85 32 15 56,100 85 32 15 56,100 32 20 15 85,100 89 87 45 12,72 80 98 98 5,100 94 98 31 18
76 94 100 98 4,65 23 15 13 73,86 36 23 18 4,89 80 88 45 20,99 77 92 89 59,55 28 35 89 44,97 99 100 47 75,98 100 76 60 49,100 93 100 87 29,100 67 36 26 3,100 85 37 18 49,100 95 100 27 4,100 69 44 36 86,100 93 100 78 69,100 88 83 47 22,100 100 95 22 4,100 100 98 39 4,100 77 28 10 9,100 100 100 95 9,100 97 45 29 9,100 97 35 10 40,100 94 32 9 54,93 51 46 13 20,100 94 97 74 69,81 83 98 100 5,88 94 97 22 37
100 85 94 73 4,39 19 15 7 100,100 49 41 26 17,100 100 92 26 63,100 100 100 89 55,53 34 30 88 21,100 100 100 31 53,100 100 72 37 34,100 98 100 83 9,100 98 50 20 6,100 98 49 20 18,100 95 93 25 14,100 100 93 63 100,100 100 100 63 92,100 99 97 62 27,100 100 87 21 3,100 100 97 39 3,100 83 25 16 29,100 100 100 92 34,100 97 100 77 13,100 97 37 23 48,100 97 37 18 49,100 56 36 20 94,100 100 100 66 43,85 92 100 100 22,100 100 100 35 39
97 98 100 89 0,56 6 0 0 56,100 67 60 25 1,100 83 97 15 60,100 90 100 80 85,64 21 25 80 80,100 100 100 33 80,100 97 58 34 79,100 84 99 82 79,100 84 99 82 79,100 76 32 19 79,100 91 96 9 79,100 100 100 52 42,100 89 100 72 40,100 74 78 45 0,100 82 84 17 0,100 96 100 38 0,100 64 18 22 10,100 90 100 94 26,100 92 37 17 27,100 92 32 10 27,100 88 32 10 27,100 48 19 12 73,100 99 97 53 12,100 84 100 98 8,100 91 100 30 22
